Lat	Long	CID-S	RSRP-S	CID-N1	CID-N2	CID-N3	CID-N4	CID-N5	CID-N6	RSRP-N1	RSRP-N2	RSRP-N3	RSRP-N4	RSRP-N5	RSRP-N6
33.5746196	130.3708801	269	-99.375	163.0	309.0	310.0	268.0	162.0	267.0	-98.0	-98.1875	-102.0625	-102.625	-102.75	-108.125
33.5746159	130.3708734	269	-98.8125	163.0	309.0	310.0	268.0	267.0	162.0	-98.125	-100.125	-103.125	-103.8125	-104.75	-105.8125
33.5746128	130.3708671	269	-97.125	309.0	163.0	310.0	162.0	32.0	268.0	-97.4375	-101.375	-102.1875	-102.625	-104.5	-105.125
33.5746117	130.3708649	269	-96.875	309.0	310.0	162.0	163.0	32.0	268.0	-97.5	-101.125	-104.3125	-104.5625	-104.8125	-105.4375
33.5746117	130.3708649	269	-97.625	309.0	310.0	82.0	32.0	163.0	268.0	-96.5625	-101.5	-103.625	-104.25	-104.5625	-104.625
33.5746117	130.3708649	269	-97.4375	309.0	163.0	310.0	268.0	204.0	82.0	-96.0625	-101.125	-102.1875	-104.375	-106.375	-106.6875
33.5746117	130.3708649	269	-97.8125	309.0	163.0	310.0	268.0	32.0	82.0	-96.25	-101.25	-104.6875	-106.6875	-107.625	-107.8125
33.5746132	130.370871	269	-99.8125	309.0	163.0	310.0	82.0	32.0	268.0	-95.1875	-97.625	-99.25	-103.3125	-104.9375	-105.375
33.5746134	130.3708719	269	-99.8125	309.0	163.0	310.0	82.0	268.0	32.0	-95.0	-98.0	-99.125	-104.4375	-105.125	-105.3125
33.5746138	130.3708735	269	-99.25	309.0	163.0	310.0	268.0	82.0		-95.875	-98.75	-99.75	-105.25	-105.4375	
33.5746145	130.3708762	269	-98.375	309.0	163.0	310.0	82.0	268.0		-95.5625	-100.0	-101.5	-103.125	-105.6875	
33.5746148	130.3708772	269	-98.1875	309.0	163.0	310.0	82.0	268.0		-94.6875	-100.4375	-101.5625	-102.9375	-106.375	
33.5746147	130.3708771	269	-99.0625	309.0	163.0	310.0	268.0			-95.0	-100.0625	-101.0	-103.875		
33.5746144	130.3708758	269	-99.875	309.0	163.0	310.0	268.0			-94.6875	-99.25	-100.8125	-104.5625		
33.574614	130.3708743	269	-100.75	309.0	163.0	310.0	268.0			-95.0625	-99.25	-101.25	-105.8125		
33.5746134	130.3708718	309	-96.625	163.0	310.0	269.0	268.0	322.0		-99.125	-101.875	-102.25	-105.25	-107.125	
33.5746127	130.3708689	309	-98.0625	310.0	269.0	163.0	322.0	268.0		-99.4375	-100.9375	-101.1875	-104.375	-104.5	
33.5746117	130.3708715	309	-95.5625	163.0	310.0	269.0	268.0	322.0		-96.1875	-99.125	-100.3125	-103.125	-103.8125	
33.5746117	130.3708801	309	-95.0	310.0	163.0	268.0	269.0	322.0		-98.3125	-98.625	-104.9375	-105.1875	-105.8125	
33.5746117	130.3708801	309	-96.125	310.0	163.0	268.0	269.0	322.0		-98.625	-99.625	-103.5	-103.6875	-105.375	
33.5746117	130.3708801	309	-95.625	163.0	310.0	269.0	322.0	268.0		-97.6875	-97.6875	-102.375	-103.625	-104.0625	
33.5746117	130.3708801	309	-97.0	163.0	310.0	269.0	268.0			-98.625	-98.75	-102.875	-103.5		
33.5746103	130.3708801	309	-99.5	163.0	310.0	269.0	268.0			-94.25	-100.0625	-101.4375	-106.75		
33.5746099	130.3708801	309	-100.125	163.0	310.0	269.0	268.0			-94.8125	-98.875	-102.0625	-108.625		
33.5746072	130.3708801	309	-97.9375	163.0	310.0	269.0	268.0			-96.375	-97.625	-104.125	-107.25		
33.5746049	130.3708801	309	-94.75	163.0	310.0	269.0	268.0			-96.1875	-98.0	-103.0625	-103.375		
33.5745962	130.3708801	309	-93.125	163.0	310.0	269.0	268.0			-94.75	-99.5	-101.125	-104.25		
33.5745899	130.3708801	309	-94.0	310.0	163.0	269.0	268.0			-98.0	-98.3125	-102.6875	-105.3125		
33.5745873	130.3708801	309	-94.6875	310.0	163.0	269.0	268.0			-100.625	-101.625	-104.6875	-107.5		
33.5745839	130.3708801	309	-94.25	310.0	163.0	269.0	268.0			-98.0	-100.1875	-104.75	-104.8125		
33.57458	130.3708801	309	-92.1875	310.0	163.0	268.0	269.0	204.0		-98.0625	-102.25	-102.8125	-104.9375	-108.75	
33.5745779	130.3708801	309	-92.375	310.0	82.0	269.0	163.0	268.0	204.0	-99.25	-102.125	-102.1875	-103.125	-107.3125	-109.5625
